x	error_lagrange_uniform	error_lagrange_chebyshev	error_newton_uniform	error_newton_chebyshev
-3.598185307178868	0.03805964308271969	0.03805964308271965	2.538038916058861	2.5380389160588623
-3.597185307178868	0.03789307547214178	0.03789307547214191	2.536075998565278	2.536075998565278
-3.5961853071788683	0.03772502519179086	0.037725025191790974	2.534111164248627	2.5341111642486265
-3.5951853071788684	0.037555484978045645	0.037555484978045756	2.532144407800114	2.532144407800113
-3.5941853071788685	0.03738444744588597	0.037384447445886024	2.530175723788577	2.530175723788578
-3.5931853071788686	0.037211905088140755	0.03721190508814084	2.5282051066597475	2.5282051066597466
-3.5921853071788687	0.037037850274723116	0.0370378502747232	2.526232550735465	2.5262325507354655
-3.591185307178869	0.036862275251852664	0.036862275251852664	2.524258050212919	2.524258050212919
-3.590185307178869	0.03668517214126485	0.03668517214126486	2.522281599163845	2.522281599163846
-3.589185307178869	0.03650653293940794	0.036506532939407955	2.520303191533731	2.5203031915337295
-3.588185307178869	0.03632634951662603	0.036326349516626014	2.518322821140988	2.5183228211409876
-3.5871853071788693	0.0361446136163295	0.03614461361632946	2.516340481676138	2.5163404816761377
-3.5861853071788694	0.03596131685415197	0.035961316854151944	2.514356166700955	2.514356166700954
-3.5851853071788695	0.035776450717094135	0.035776450717094274	2.5123698696476167	2.512369869647616
-3.5841853071788696	0.03559000656265403	0.03559000656265414	2.510381583817833	2.5103815838178334
-3.5831853071788697	0.03540197561794356	0.03540197561794371	2.5083913023819666	2.5083913023819653
-3.58218530717887	0.03521234897879189	0.035212348978791976	2.5063990183781244	2.506399018378125
-3.58118530717887	0.03502111760883483	0.035021117608834924	2.504404724711264	2.504404724711262
-3.58018530717887	0.03482827233859046	0.034828272338590475	2.502408414152251	2.5024084141522516
-3.57918530717887	0.034633803864520515	0.03463380386452054	2.50041007933694	2.5004100793369393
-3.5781853071788703	0.034437702748078516	0.03443770274807853	2.498409712765204	2.4984097127652043
-3.5771853071788704	0.03423995941474314	0.03423995941474309	2.4964073067999815	2.4964073067999815
-3.5761853071788705	0.03404056415303744	0.0340405641530374	2.494402853666286	2.494402853666287
-3.5751853071788706	0.03383950711353406	0.033839507113534006	2.4923963454502234	2.4923963454502225
-3.5741853071788707	0.033636778307845484	0.03363677830784539	2.490387774097962	2.4903877740979623
-3.573185307178871	0.0334323676076005	0.03343236760760064	2.4883771314147336	2.4883771314147327
-3.572185307178871	0.03322626474340533	0.03322626474340548	2.4863644090637758	2.486364409063776
-3.571185307178871	0.03301845930379003	0.0330184593037901	2.4843495985652893	2.4843495985652884
-3.570185307178871	0.03280894073414062	0.0328089407341407	2.482332691295359	2.48233269129536
-3.5691853071788713	0.0325976983356156	0.03259769833561568	2.4803136784848863	2.4803136784848867
-3.5681853071788714	0.03238472126404754	0.03238472126404755	2.478292551218476	2.478292551218475
-3.5671853071788715	0.03216999852882965	0.03216999852882968	2.4762693004333287	2.476269300433328
-3.5661853071788716	0.03195351899178641	0.031953518991786466	2.4742439169181134	2.4742439169181134
-3.5651853071788717	0.0317352713660298	0.031735271366029744	2.4722163913118207	2.4722163913118207
-3.564185307178872	0.03151524421479866	0.03151524421479866	2.470186714102604	2.4701867141026046
